work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Security Engineer,145000,US,100,US,M
2022,SE,FT,Security Engineer,120000,US,100,US,M
2022,MI,FT,Security Consultant,112000,US,100,US,M
2022,MI,FT,Security Consultant,64000,US,100,US,M
2022,SE,FT,Security Analyst,105800,US,100,US,M
2022,SE,FT,Security Analyst,81600,US,100,US,M
2022,SE,FT,Security Engineer,210000,US,0,US,M
2022,SE,FT,Security Engineer,140000,US,0,US,M
2022,SE,FT,Penetration Tester,160000,US,100,US,M
2022,SE,FT,Penetration Tester,125000,US,100,US,M
2022,MI,FT,DevSecOps Engineer,119910,US,0,US,M
2022,MI,FT,DevSecOps Engineer,72324,US,0,US,M
2022,MI,FT,Security Officer,94000,US,0,US,M
2022,MI,FT,Security Officer,59000,US,0,US,M
2022,SE,FT,Security Specialist,177600,US,100,US,L
2022,SE,FT,Security Specialist,131300,US,100,US,L
2022,MI,FT,Cloud Security Engineer,120000,US,100,US,L
2022,SE,FT,Security Engineer,211600,US,100,US,M
2022,SE,FT,Security Engineer,182160,US,100,US,M
2022,SE,FT,Security Engineer,207000,US,100,US,M
2022,SE,FT,Security Engineer,139000,US,100,US,M
2022,SE,FT,Penetration Tester,207500,US,100,US,M
2022,SE,FT,Penetration Tester,125000,US,100,US,M
2022,SE,FT,Penetration Tester,230000,US,100,US,M
2022,SE,FT,Penetration Tester,140000,US,100,US,M
2022,SE,FT,Security Engineer,95000,US,100,US,M
2022,SE,FT,Security Engineer,154700,US,100,US,M
2022,SE,FT,Security Engineer,131495,US,100,US,M
2022,MI,FT,Security Engineer,95000,US,0,US,M
2022,MI,FT,Security Engineer,70000,US,0,US,M
2022,SE,FT,Security Engineer,235000,US,100,US,M
2022,SE,FT,Security Engineer,205000,US,100,US,M
2022,SE,FT,Security Engineer,154700,US,100,US,M
2022,SE,FT,Security Engineer,131495,US,100,US,M
2022,SE,FT,Security Engineer,202400,CA,100,CA,M
2022,SE,FT,Security Engineer,125800,CA,100,CA,M
2022,EX,FT,Head of Information Security,125000,IN,100,US,L
2022,EX,FT,Chief Information Security Officer,160000,US,50,US,S
2022,SE,FT,Security Engineer,150000,US,100,US,M
2022,SE,FT,Security Engineer,140000,US,100,US,M
2022,SE,FT,Security Engineer,125000,US,100,US,M
2022,SE,FT,Security Engineer,110000,US,100,US,M
2022,SE,FT,Security Engineer,121800,US,100,US,L
2022,SE,FT,Security Engineer,81200,US,100,US,L
2022,EX,FT,Information Security Manager,125000,US,0,US,L
2022,MI,FT,Network and Security Engineer,105000,US,100,US,L
2022,SE,FT,Threat Hunter,207500,US,100,US,M
2022,SE,FT,Threat Hunter,125000,US,100,US,M
2022,MI,FT,Information Security Compliance Lead,110000,US,100,US,L
2022,SE,FT,Security Engineer,181940,US,100,US,M
2022,SE,FT,Security Engineer,132000,US,100,US,M
2022,MI,FT,Digital Forensics Analyst,106000,US,50,US,M
2022,EN,PT,Information Security Compliance Analyst,46800,US,100,US,L
2022,SE,FT,Cyber Threat Analyst,137000,US,100,US,L
2022,SE,FT,Cyber Threat Analyst,137000,US,100,US,L
2022,SE,FT,Security Engineer,210000,US,100,US,M
2022,SE,FT,Security Engineer,160000,US,100,US,M
2022,SE,FT,Security Consultant,228600,US,100,US,L
2022,SE,FT,Security Consultant,153600,US,100,US,L
2022,SE,FT,Security Analyst,146000,US,0,US,M
2022,SE,FT,Security Analyst,122000,US,0,US,M
2022,SE,FT,Security Consultant,228600,US,100,US,L
2022,SE,FT,Security Consultant,153600,US,100,US,L
2022,SE,FT,Security Engineer,182000,US,100,US,M
2022,SE,FT,Security Engineer,153000,US,100,US,M
2022,EN,FT,Cyber Security Consultant,110000,US,100,US,M
2022,SE,FT,Security Consultant,228518,US,100,US,L
2022,SE,FT,Security Consultant,153550,US,100,US,L
2022,SE,FT,Security Engineer,188700,US,100,US,L
2022,SE,FT,Security Engineer,103600,US,100,US,L
2022,SE,FT,Security Engineer,227200,CA,100,CA,M
2022,SE,FT,Security Engineer,149600,CA,100,CA,M
2022,SE,FT,Security Engineer,157250,US,100,US,M
2022,SE,FT,Security Engineer,133663,US,100,US,M
2022,SE,FT,Security Engineer,170200,CA,100,CA,M
2022,SE,FT,Security Engineer,125800,CA,100,CA,M
2022,SE,FT,Security Engineer,168000,CA,100,CA,M
2022,SE,FT,Security Engineer,134000,CA,100,CA,M
2022,SE,FT,Security Engineer,202400,CA,100,CA,M
2022,SE,FT,Security Engineer,125800,CA,100,CA,M
2022,SE,FT,Security Engineer,150000,US,100,US,M
2022,SE,FT,Security Engineer,130000,US,100,US,M
2022,EN,FT,Cyber Program Manager,63000,US,50,US,S
2022,MI,FT,Security Analyst,95000,US,0,US,M
2022,MI,FT,Security Analyst,70000,US,0,US,M
2022,EN,CT,Cyber Security Analyst,120000,BW,100,BW,S
2022,EX,FT,Application Security Architect,315000,US,100,US,L
2022,SE,FT,Security Researcher,220000,US,100,US,M
2022,SE,FT,Security Researcher,140000,US,100,US,M
2022,EX,FT,Information Security Compliance Manager,360000,TW,100,SG,L
2021,EN,FT,Security Specialist,50000,US,0,US,S
2022,SE,FT,Application Security Specialist,85000,US,100,US,L
2022,MI,FT,Cyber Security Consultant,90000,US,100,US,L
2022,EN,FT,Security Specialist,50000,US,0,US,S
2022,EX,FT,Head of Information Security,290000,US,100,US,L
2021,EX,FT,Head of Information Security,232000,US,100,US,L
2022,EX,FT,Head of Information Security,244000,US,100,US,L
2022,EN,FT,Security Incident Response Engineer,112000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,72000,US,100,US,L
2022,MI,FT,DevSecOps Engineer,152000,US,0,US,M
2022,MI,FT,DevSecOps Engineer,91000,US,0,US,M
2022,MI,FT,Application Security Engineer,207000,US,100,US,L
2022,EX,FT,Chief Information Security Officer,300000,AE,50,AE,L
2022,MI,FT,Vulnerability Analyst,115000,US,100,US,L
2022,EN,FT,Information Security Analyst,52000,US,100,US,L
2022,SE,FT,Principal Application Security Engineer,237000,US,100,US,L
2021,EN,FT,Cyber Security Architect,150000,US,50,US,M
2022,SE,FT,Information Security Manager,110000,US,0,US,L
2022,EN,FT,SOC Analyst,104000,US,100,US,L
2021,EN,FT,SOC Analyst,75000,US,0,US,M
2022,SE,FT,DevSecOps Engineer,165000,US,100,US,L
2022,SE,FT,Penetration Tester,190000,US,100,US,L
2022,SE,FT,Cyber Threat Intelligence Analyst,135000,US,100,US,L
2022,MI,FT,Information Security Officer,97900,US,50,US,L
2022,SE,FT,IT Security Analyst,90000,US,100,US,S
